ID_Number,Date,AM_PM,Route_Number,Q1_1,Q1_2,Q1_3,Q1_4,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3Specified,Q4_1,Q4_2,Q4_3,Q4_4,Q4Specified,Q5Start,Q5End,Q6,Duration.of.Trip,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_5Specified,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11Specified,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_10Specified,Q13,Q14,Q15,Q16,Q16Specified,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24,Q25,Q25Specified,Q26,Q26Specified,Q27,Q27Specified,Q27English,Q28,Q29,Q30,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q32_1,Q32_2,Q32_3,Q33
1,4/18/2013,pm,23,Express Route,BUS Bus Service,Trolley,NA,Every weekday,NA,Walk,NA,NA,Bicycle,NA,,Work,NA,NA,NA,,,,45,45-60 Minutes,Yes,Walk,Bicycle,NA,NA,NA,,5-10 minutes,Always,Printable schedules online,Paper schedules,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,No,No,No,No,NA,Not at all likely,Not at all satisfied,3,3,Not at all satisfied,Not at all satisfied,2,2,3,2,2,2,2,Not at all satisfied,Not at all satisfied,2,Extremely important,3,2,3,Not at all important,Not at all important,FUJ,Female,44,African American,,In the United States,,No,,,3,3,"$25,000 to less than $35,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly","Yes, use regularly","Yes, use regularly",Yes
2,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a month, but not every week",NA,NA,Taxi,NA,NA,NA,,NA,NA,Medical Appointment,NA,,,,75,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Never,NA,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,10 ride special tickets,NA,,Yes,No,Not employed,No,Don't like the idea,Not at all likely,Not at all satisfied,Not at all satisfied,3,4,2,Completely satisfied,Completely satisfied,2,3,2,3,Not at all satisfied,3,Not at all satisfied,3,Extremely important,Not at all important,4,Not at all important,3,3,EMV,Male,55,Other,NA,In the United States,,Yes,NA,Very well,4,1,"Less than $25,000",Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
3,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,10,Less than 15 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,Paper schedules,NA,NA,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Yes,,Extremely likely,Not at all satisfied,2,4,Not at all satisfied,Not at all satisfied,NA,4,Not at all satisfied,4,4,2,2,Not at all satisfied,Not at all satisfied,4,Not at all important,Not at all important,3,3,3,NA,VMI,Male,45,African American,,In the United States,,No,,,2,2,"Less than $25,000",No,No,No,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, but don't use regularly",Yes
4,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,Taxi,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,Printable schedules online,Paper schedules,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,NA,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,Yes,No,No,Yes,,Extremely likely,Not at all satisfied,Completely satisfied,Completely satisfied,Not at all satisfied,2,4,3,Not at all satisfied,Not at all satisfied,Completely satisfied,4,Not at all satisfied,Not at all satisfied,4,4,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,FUJ,Male,21,African American,,In the United States,,No,,,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,"Yes, use regularly",No,"Yes, use regularly",No
5,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,NA,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,60,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Yes,No,No,Unsure,,4,Not at all satisfied,Not at all satisfied,2,2,2,Completely satisfied,NA,Not at all satisfied,3,3,2,NA,Completely satisfied,3,4,2,3,4,4,4,4,FUJ,Female,58,African American,,In the United States,,No,,,2,2,"Less than $25,000",Yes,No,No,No,No,No,No,No,No,No
6,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every weekday,NA,Walk,NA,NA,NA,NA,,Work,NA,NA,NA,,,,60,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,10-15 minutes,Sometimes,NA,Paper schedules,NA,NA,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Unsure,,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,AMF,Male,38,African American,,In the United States,,No,,,2,2,"Less than $25,000",No,Yes,No,Yes,Yes,Yes,"Yes, but don't use regularly","Yes, but don't use regularly","Yes, use regularly",Yes
7,4/18/2013,pm,23,Express Route,NA,NA,NA,"Several times a week, but not every day",NA,Walk,NA,NA,NA,NA,,NA,NA,NA,Other,Mom's House,,,60,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,5-10 minutes,Always,NA,Paper schedules,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Monthly pass,NA,NA,NA,NA,NA,,No,No,No,Unsure,,Extremely likely,Not at all satisfied,Not at all satisfied,3,Not at all satisfied,Not at all satisfied,2,3,2,3,2,Not at all satisfied,4,3,3,4,2,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,YEJ,Male,50,African American,,In the United States,,No,,,2,2,"Less than $25,000",Yes,Yes,No,Yes,No,Yes,No,No,"Yes, but don't use regularly",No
8,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a month, but not every week",Drive myself in my car,Walk,NA,Get a ride in someone else's car,NA,NA,,NA,NA,NA,Other,Driving Class,,,70,60-90 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,NA,NA,BUS or Google’s online Trip Planner,Call customer service,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,No,No,Unsure,,Extremely likely,2,3,4,Completely satisfied,2,Completely satisfied,Completely satisfied,4,Completely satisfied,4,3,4,4,2,4,Extremely important,4,Not at all important,4,4,Extremely important,OCC,Male,34,African American,,In the United States,,No,,,2,1,"Less than $25,000",Yes,Yes,No,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, use regularly",No
9,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,"Several times a month, but not every week",Drive myself in my car,Walk,Taxi,Get a ride in someone else's car,NA,NA,,NA,NA,NA,Other,"Food Stamps, L&N",,,15,15-30 Minutes,Yes,Walk,Bicycle,NA,NA,NA,,0-5 minutes,Rarely,NA,Paper schedules,NA,NA,Call customer service,NA,NA,,NA,NA,Express monthly pass,NA,NA,NA,NA,10 ride tickets,NA,NA,,Yes,No,No,Yes,,Extremely likely,Not at all satisfied,3,2,Completely satisfied,Not at all satisfied,3,3,3,3,3,3,3,3,3,Completely satisfied,3,3,Extremely important,Extremely important,4,Extremely important,JRY,Female,43,African American,,In the United States,,No,,,1,4,"Less than $25,000",No,Yes,No,Yes,Yes,NA,No,No,"Yes, but don't use regularly",Yes
10,4/18/2013,pm,23,NA,BUS Bus Service,NA,NA,Every day,NA,Walk,NA,Get a ride in someone else's car,NA,NA,,Work,NA,NA,NA,,,,20,15-30 Minutes,Yes,Walk,NA,NA,NA,NA,,0-5 minutes,Rarely,NA,NA,NA,BUS or Google’s online Trip Planner,NA,NA,NA,,Adult cash fare,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,Yes,No,Yes,,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,JRY,Female,26,African American,,In the United States,,No,,,2,1,"Less than $25,000",No,Yes,No,Yes,Yes,Yes,"Yes, use regularly",No,"Yes, use regularly",No
